index,Bin_ID,Other_bin,count_raw,norm_val,count_normed
0,11,0,13,9169.21419324,119199.784512
1,11,1,38,9573.98284379,363811.348064
2,11,2,29,10039.8680434,291156.173259
3,11,3,41,10027.9026037,411144.006751
4,11,4,38,10079.1465164,383007.567623
5,11,5,35,9017.99806708,315629.932348
6,11,6,39,8576.04482918,334465.748338
7,11,7,42,8616.135468,361877.689656
8,11,8,49,8831.75724715,432756.10511
9,11,9,40,9530.44935594,381217.974238
10,11,10,24,9465.9127542,227181.906101
11,11,11,21,9175.52858454,192686.100275
12,11,12,45,9580.6540021,431129.430094
13,11,13,29,10061.7367195,291790.364865
14,11,14,35,10428.6066706,365001.233472
15,11,15,36,10535.4513106,379276.247183
16,11,16,33,10841.5278427,357770.418808
17,11,17,19,11041.8666723,209795.466773
18,11,18,23,11292.2142814,259720.928471
19,11,19,22,11406.0594698,250933.308336
20,11,20,28,11619.043061,325333.205707
21,11,21,29,11396.2618915,330491.594853
22,11,22,20,11172.994865,223459.897301
23,11,23,34,11245.6210387,382351.115316
24,11,24,29,11982.754491,347499.880239
25,11,25,21,11687.9551171,245447.057459
26,11,26,23,11922.8062589,274224.543954
27,11,27,19,12204.6683454,231888.698563
28,11,28,25,12322.7941111,308069.852777
29,11,29,34,11555.5565853,392888.9239
30,11,30,25,10904.6551236,272616.37809
31,11,31,30,11034.8027601,331044.082802
32,11,32,42,11293.4226678,474323.752048
33,11,33,39,11213.7375939,437335.766161
34,11,34,25,11464.8192338,286620.480846
35,11,35,21,11435.4154753,240143.72498
36,11,36,25,12072.276794,301806.91985
37,11,37,24,11993.0427448,287833.025874
38,11,38,24,11957.3094809,286975.427542
39,11,39,24,11663.2829512,279918.79083
40,11,40,22,11426.0577456,251373.270404
41,11,41,32,11313.3085118,362025.872377
42,11,42,33,10845.5404033,357902.833308
43,11,43,22,10523.8083127,231523.782878
44,11,44,28,10567.3311617,295885.272528
45,11,45,32,10253.432968,328109.854976
46,11,46,30,10000.2426364,300007.279091
47,11,47,30,9893.51352894,296805.405868
48,11,48,35,10083.9497485,352938.241197
49,11,49,35,10095.0607691,353327.12692
50,11,50,21,10081.6185792,211713.990162
51,11,51,23,9859.6370096,226771.651221
52,11,52,30,10100.0576097,303001.728292
53,11,53,46,10084.8068965,463901.117238
54,11,54,43,10302.3970725,443003.074117
55,11,55,37,10095.044523,373516.64735
56,11,56,32,10329.2960581,330537.47386
57,11,57,30,10526.8910208,315806.730624
58,11,58,32,10830.601311,346579.241951
59,11,59,38,10312.1350144,391861.130547
60,11,60,37,9546.12273697,353206.541268
61,11,61,49,8945.16993665,438313.326896
62,11,62,57,8743.65788435,498388.499408
63,11,63,34,8574.1201743,291520.085926
64,11,64,58,8463.22537949,490867.07201
65,11,65,35,8399.4341163,293980.194071
66,11,66,39,8354.02607746,325807.017021
67,11,67,48,8271.56775128,397035.252061
68,11,68,30,8327.89551368,249836.865411
69,11,69,52,8237.95008177,428373.404252
70,11,70,38,8255.44101294,313706.758492
71,11,71,32,8991.45786446,287726.651663
72,11,72,44,9327.39972176,410405.587758
73,11,73,38,9531.23820811,362187.051908
74,11,74,34,9499.68975851,322989.451789
75,11,75,39,8597.31489272,335295.280816
76,11,76,39,7945.02675191,309856.043325
77,11,77,36,7682.68543389,276576.67562
78,11,78,52,7512.8196211,390666.620297
79,11,79,60,7362.45019483,441747.01169
80,11,80,61,7414.95060093,452311.986657
81,11,81,64,7469.75918648,478064.587935
82,11,82,47,7635.76795175,358881.093732
83,11,83,39,8020.91376984,312815.637024
84,11,84,37,8925.04819071,330226.783056
85,11,85,38,9341.35713368,354971.57108
86,11,86,38,9374.00389762,356212.148109
87,11,87,41,9098.69370241,373046.441799
88,11,88,38,9120.46652689,346577.728022
89,11,89,34,9826.92507605,334115.452586
90,11,90,36,9478.68481788,341232.653444
91,11,91,49,8347.70297649,409037.445848
92,11,92,42,7884.67768965,331156.462965
93,11,93,59,7832.97320568,462145.419135
94,11,94,43,7902.61906509,339812.619799
95,11,95,59,7959.1224381,469588.223848
96,11,96,69,8096.1852222,558636.780332
97,11,97,61,8119.14748591,495267.99664
98,11,98,48,8308.80986918,398822.873721
99,11,99,46,8798.70548465,404740.452294
100,17,0,22,11034.2679093,242753.894005
101,17,1,27,11521.3680727,311076.937962
102,17,2,36,12082.0161281,434952.580613
103,17,3,26,12067.6168716,313758.038661
104,17,4,26,12129.2839948,315361.383865
105,17,5,29,10852.2938368,314716.521268
106,17,6,26,10320.4455969,268331.585519
107,17,7,27,10368.6908271,279954.652331
108,17,8,25,10628.1709121,265704.272802
109,17,9,38,11468.9797046,435821.228776
110,17,10,34,11391.3161079,387304.747668
111,17,11,24,11041.8666723,265004.800135
112,17,12,38,11529.3961704,438117.054477
113,17,13,24,12108.3329777,290599.991465
114,17,14,33,12549.8256993,414144.248077
115,17,15,31,12678.4029533,393030.491552
116,17,16,25,13046.7366386,326168.415966
117,17,17,34,13287.8251629,451786.055538
118,17,18,26,13589.0944462,353316.455602
119,17,19,19,13726.0961874,260795.827561
120,17,20,17,13982.4014667,237700.824934
121,17,21,22,13714.3057437,301714.726361
122,17,22,24,13445.6253384,322695.008122
123,17,23,17,13533.0239574,230061.407276
124,17,24,22,14420.0932118,317242.050659
125,17,25,31,14065.3305023,436025.24557
126,17,26,17,14347.9512768,243915.171705
127,17,27,27,14687.1452046,396552.920523
128,17,28,20,14829.2982089,296585.964178
129,17,29,15,13906.0015958,208590.023937
130,17,30,21,13122.7042532,275576.789318
131,17,31,28,13279.3244235,371821.083859
132,17,32,27,13590.5486232,366944.812826
133,17,33,35,13494.6552963,472312.93537
134,17,34,27,13796.8079153,372513.813712
135,17,35,30,13761.4233182,412842.699545
136,17,36,19,14527.8246983,276028.669268
137,17,37,24,14432.4741362,346379.37927
138,17,38,20,14389.472588,287789.451759
139,17,39,15,14035.6399222,210534.598833
140,17,40,26,13750.1621901,357504.216941
141,17,41,32,13614.4793249,435663.338397
142,17,42,30,13051.5653696,391546.961088
143,17,43,26,12664.3917244,329274.184834
144,17,44,24,12716.7672897,305202.414953
145,17,45,29,12339.0209864,357831.608605
146,17,46,24,12034.3307597,288823.938233
147,17,47,19,11905.892538,226211.958222
148,17,48,29,12135.0642229,351916.862465
149,17,49,35,12148.4352683,425195.234389
150,17,50,25,12132.2588847,303306.472118
151,17,51,28,11865.1254033,332223.511292
152,17,52,29,12154.4484856,352479.006083
153,17,53,23,12136.0957181,279130.201517
154,17,54,32,12397.9445796,396734.226546
155,17,55,26,12148.4157176,315858.808656
156,17,56,39,12430.3149232,484782.282003
157,17,57,32,12668.1014673,405379.246955
158,17,58,26,13033.587608,338873.277808
